id,budget,genre,original_language,popularity,year,month,release_date,revenue,runtime,vote_average,vote_count,country
71676,57000000,Action,en,9.421301,2011,12,2011/12/10,149217355,95,4.7,1163,AE
57214,12000000,Comedy,en,9.803023,2012,3,2012/3/1,100000000,88,6.5,1624,US
73723,70000000,Animation,en,7.689395,2012,3,2012/3/1,348840316,86,6.3,1048,US
73937,41000000,Comedy,en,10.267905,2011,10,2011/10/13,7448385,100,5.6,252,US
75674,12000000,Action,en,12.159818,2012,2,2012/2/24,81272766,110,6.3,420,US
59962,65000000,Action,en,12.366641,2012,2,2012/2/14,156974557,103,5.9,1411,US
49529,260000000,Action,en,14.670353,2012,3,2012/3/7,284139100,132,6.1,2170,US
77949,4798235,Horror,en,9.336568,2011,8,2011/8/17,209696,107,6.3,470,GB
63493,10000000,Drama,en,4.883085,2011,5,2011/5/6,610986,101,5.9,103,US
64688,42000000,Action,en,11.250764,2012,3,2012/3/12,201585328,109,6.7,4151,US
82532,10000000,Drama,en,5.872794,2011,9,2011/9/13,4417580,83,6.1,220,US
81796,20000000,Action,en,8.772263,2012,4,2012/4/12,32204030,95,5.8,722,FR
81390,4000000,Adventure,en,6.780752,2011,4,2011/4/9,25345000,99,6.2,160,GB
81025,5000000,Drama,en,6.753328,2011,9,2011/9/10,34564651,107,6.3,325,GB
57165,150000000,Adventure,en,7.739904,2012,3,2012/3/27,301000000,99,5.5,1459,ES
10679,7500000,Action,en,19.561767,2012,3,2012/3/10,8135031,93,5.6,563,FI
71552,50000000,Comedy,en,8.10609,2012,4,2012/4/4,234989584,113,6.1,1641,US
94329,1100000,Action,id,10.528833,2011,9,2011/9/8,4105187,101,7.3,1076,ID
22970,30000000,Horror,en,14.811958,2012,4,2012/4/12,66486080,95,6.6,2314,US
92182,2000000,Horror,en,10.239941,2011,1,2011/1/21,13101672,85,5.2,125,FR
76489,30000000,Comedy,en,13.371056,2012,4,2012/4/13,54819301,92,4.9,143,US
70436,26000000,Crime,en,7.254242,2012,3,2012/3/9,29657751,111,6.1,432,HU
62764,85000000,Adventure,en,14.170183,2012,3,2012/3/15,183018522,106,5.5,1148,US
44833,209000000,Thriller,en,13.106966,2012,4,2012/4/11,303025485,131,5.5,2141,US
74534,10000000,Drama,en,9.23046,2011,11,2011/11/28,136836156,124,6.9,468,AE
72207,30000000,Comedy,en,12.84554,2012,4,2012/4/27,53909751,124,5.7,466,US
67660,12000000,Comedy,en,5.264551,2012,4,2012/4/16,96070507,122,6.9,287,US
77877,25000000,Drama,en,7.740762,2012,4,2012/4/19,99357138,101,6.8,981,US
72387,30000000,Action,en,8.234382,2012,4,2012/4/16,40346186,94,6.3,808,US
62213,150000000,Comedy,en,10.665859,2012,5,2012/5/8,245527149,113,5.7,2383,AU
76493,65000000,Comedy,en,7.446085,2012,5,2012/5/15,179379533,83,5.9,1789,US
41154,225000000,Action,en,10.684385,2012,5,2012/5/23,624026776,106,6.3,4228,US
58595,170000000,Adventure,en,18.751554,2012,5,2012/5/30,396600000,127,5.8,3183,US
72197,60000000,Animation,en,10.271517,2012,3,2012/3/12,118338361,88,6.4,379,GB
70981,130000000,Science Fiction,en,16.624854,2012,5,2012/5/30,403170142,124,6.3,5152,GB
92591,5000000,Comedy,en,5.875181,2012,4,2012/4/27,9206470,100,6.5,325,US
50647,35000000,Comedy,en,9.295078,2012,2,2012/2/23,24159934,98,5.3,402,US
83666,16000000,Comedy,en,8.692433,2012,5,2012/5/16,68263166,94,7.6,1701,US
85435,12468389,Comedy,en,6.116093,2011,10,2011/10/14,29007412,97,5.9,137,AU
49014,20500000,Drama,en,6.087109,2012,5,2012/5/25,6063556,109,5.1,337,CA
72358,40000000,Drama,en,5.446745,2012,3,2012/3/7,22044277,91,6,381,US
